# x xmin xmax y dy cont resol fit_mask model deabs
540.004 540.002 540.006005 0.9984710 0.0059388 1.0000000 44944.153 0.0000000e+00 1.0000000 0.9984710
540.00801 540.006005 540.01001 1.0024200 0.0058939 1.0000000 44944.487 0.0000000e+00 1.0000000 1.0024200
540.01201 540.01001 540.014015 1.0027200 0.0057745 1.0000000 44944.820 0.0000000e+00 1.0000000 1.0027200
540.01602 540.014015 540.01802 1.0003400 0.0057034 1.0000000 44963.865 0.0000000e+00 1.0000000 1.0003400
540.02002 540.01802 540.0220200000001 0.9935040 0.0055722 1.0000000 45057.991 0.0000000e+00 1.0000000 0.9935040
540.0240200000001 540.0220200000001 540.0260000000001 0.9911190 0.0055075 1.0000000 45152.510 0.0000000e+00 1.0000000 0.9911190
540.0279800000001 540.0260000000001 540.02998 0.9991780 0.0055953 1.0000000 45133.972 0.0000000e+00 1.0000000 0.9991780
540.0319800000001 540.02998 540.033985 0.9985680 0.0057372 1.0000000 45040.198 0.0000000e+00 1.0000000 0.9985680
540.0359900000001 540.033985 540.03799 0.9981130 0.0058025 1.0000000 44965.528 0.0000000e+00 1.0000000 0.9981130
540.0399900000001 540.03799 540.04199 0.9981350 0.0057715 1.0000000 44965.861 0.0000000e+00 1.0000000 0.9981350
540.04399 540.04199 540.045995 0.9999180 0.0057004 1.0000000 44966.194 0.0000000e+00 1.0000000 0.9999180
540.048 540.045995 540.05 0.9983590 0.0056409 1.0000000 44947.815 0.0000000e+00 1.0000000 0.9983590
540.052 540.05 540.054005 1.0070600 0.0055719 1.0000000 44948.148 0.0000000e+00 1.0000000 1.0070600
540.05601 540.054005 540.05801 1.0060400 0.0054694 1.0000000 44967.195 0.0000000e+00 1.0000000 1.0060400
540.06001 540.05801 540.06201 0.9976190 0.0054119 1.0000000 44967.528 0.0000000e+00 1.0000000 0.9976190
540.0640099999999 540.06201 540.066015 0.9958150 0.0055067 1.0000000 44967.861 0.0000000e+00 1.0000000 0.9958150
540.06802 540.066015 540.07002 0.9988340 0.0056967 1.0000000 45043.204 0.0000000e+00 1.0000000 0.9988340
540.07202 540.07002 540.074 0.9888300 0.0057549 1.0000000 45137.653 0.0000000e+00 1.0000000 0.9888300
540.07598 540.074 540.07798 0.9913170 0.0056742 1.0000000 45156.855 0.0000000e+00 1.0000000 0.9913170
540.07998 540.07798 540.0819799999999 0.9975320 0.0055945 1.0000000 45062.994 0.0000000e+00 1.0000000 0.9975320
540.08398 540.0819799999999 540.0859849999999 1.0017800 0.0055540 1.0000000 44969.524 0.0000000e+00 1.0000000 1.0017800
540.08799 540.0859849999999 540.08999 0.9957910 0.0055137 1.0000000 44951.144 0.0000000e+00 1.0000000 0.9957910
540.09199 540.08999 540.093995 0.9965410 0.0054407 1.0000000 44951.476 0.0000000e+00 1.0000000 0.9965410
540.096 540.093995 540.098 0.9983440 0.0054237 1.0000000 44970.525 0.0000000e+00 1.0000000 0.9983440
